parish,year,median_income,dps_score,dps_letter,crime_total,home_value_avg,mortgage_rate_avg
Rapides Parish,2017,48032,91.6,B,7849.0,142395.70021274194,3.9898076923076924
Red River Parish,2017,3374,62.0,D,168.0,158871.12872820202,3.9898076923076924
Richland Parish,2017,7500,70.8,C,267.0,138122.53621707603,3.9898076923076924
Sabine Parish,2017,9174,98.4,B,358.0,160702.87069436986,3.9898076923076924
Terrebonne Parish,2017,40177,98.2,B,3840.0,177453.9253507265,3.9898076923076924
Union Parish,2017,7971,82.6,C,333.0,116497.17689703114,3.9898076923076924
Vermilion Parish,2017,21721,106.3,A,1432.0,155071.08559251516,3.9898076923076924
Vernon Parish,2017,17930,107.9,A,1010.0,148443.09348301732,3.9898076923076924
Washington Parish,2017,17542,88.9,B,1756.0,119019.0048703989,3.9898076923076924
Webster Parish,2017,15854,74.1,C,671.0,147823.76545062207,3.9898076923076924
West Baton Rouge Parish,2017,9436,93.3,B,735.0,189612.54201765312,3.9898076923076924
West Carroll Parish,2017,4182,85.3,B,236.0,120865.62316104646,3.9898076923076924
West Feliciana Parish,2017,3947,102.0,A,119.0,253913.22492972287,3.9898076923076924
Winn Parish,2017,5382,83.8,C,98.0,120626.82892757519,3.9898076923076924
Acadia Parish,2018,22564,79.5,B,2355.0,146927.0269992412,4.544615384615384
Allen Parish,2018,7920,85.1,B,254.0,123409.31517582641,4.544615384615384
Ascension Parish,2018,42649,91.2,A,4061.0,224236.46623294754,4.544615384615384
Assumption Parish,2018,8802,78.9,B,339.0,142193.67969265138,4.544615384615384
Avoyelles Parish,2018,15085,66.6,C,1122.0,161304.77412124473,4.544615384615384
Beauregard Parish,2018,13219,83.8,B,178.0,193055.3931775662,4.544615384615384
Bienville Parish,2018,5892,77.7,B,229.0,95735.18414323882,4.544615384615384
Bossier Parish,2018,48947,82.8,B,4386.0,179898.84032435677,4.544615384615384
Caddo Parish,2018,96360,67.2,C,12376.0,115286.96485831117,4.544615384615384
Calcasieu Parish,2018,77295,79.5,B,10820.0,209141.33707155116,4.544615384615384
Caldwell Parish,2018,3667,75.4,B,288.0,120146.97667452646,4.544615384615384
Cameron Parish,2018,2718,85.9,B,171658.0,215972.00625594752,4.544615384615384
Catahoula Parish,2018,3595,78.2,B,148.0,112346.42993675731,4.544615384615384
Claiborne Parish,2018,5891,66.3,C,112.0,244839.78853212867,4.544615384615384
Concordia Parish,2018,7371,72.2,C,686.0,118364.24775903956,4.544615384615384
East Baton Rouge Parish,2018,165939,65.4,C,23110.0,187203.4309197011,4.544615384615384
East Feliciana Parish,2018,6759,69.1,C,239.0,187717.88307448666,4.544615384615384
Evangeline Parish,2018,12051,76.4,B,922.0,108470.27882938583,4.544615384615384
Franklin Parish,2018,7629,65.7,C,166.0,94791.38589863002,4.544615384615384
Grant Parish,2018,6989,78.5,B,72.0,141421.1985113681,4.544615384615384
Iberville Parish,2018,10918,74.2,C,1075.0,148010.80812395932,4.544615384615384
Jackson Parish,2018,5976,65.7,C,116.0,120105.66089749808,4.544615384615384
Jefferson Parish,2018,168895,70.6,C,14163.0,235618.96578475044,4.544615384615384
Jefferson Davis Parish,2018,11501,83.0,B,448.0,148803.07201117996,4.544615384615384
Lafayette Parish,2018,90606,78.6,B,9739.0,205390.7513290604,4.544615384615384
Lafourche Parish,2018,36449,90.5,A,2546.0,199503.6677835581,4.544615384615384
Lincoln Parish,2018,17551,87.1,B,1053.0,177774.69055213468,4.544615384615384
Livingston Parish,2018,48859,86.3,B,4842.0,187140.33416611762,4.544615384615384
Morehouse Parish,2018,9758,58.0,D,1471.0,85092.28745344584,4.544615384615384
Natchitoches Parish,2018,14630,72.4,C,1711.0,168654.17810635647,4.544615384615384
Ouachita Parish,2018,56686,81.2,B,8429.0,143400.7010990299,4.544615384615384
Plaquemines Parish,2018,8817,89.4,B,188.0,252037.3575531567,4.544615384615384
Pointe Coupee Parish,2018,8961,64.7,C,475.0,160985.0950617634,4.544615384615384
Rapides Parish,2018,48000,76.5,B,7182.0,148298.12854859835,4.544615384615384
Red River Parish,2018,3334,63.4,C,139.0,162621.91302276964,4.544615384615384
Richland Parish,2018,7391,65.1,C,87.0,132045.44455613065,4.544615384615384
Sabine Parish,2018,9185,84.4,B,339.0,157823.7421935854,4.544615384615384
Terrebonne Parish,2018,40014,83.0,B,4254.0,173552.1126381468,4.544615384615384
Union Parish,2018,7724,64.8,C,472.0,121610.69731724304,4.544615384615384
Vermilion Parish,2018,21632,90.2,A,1252.0,156359.5442295785,4.544615384615384
Vernon Parish,2018,17801,88.9,B,1003.0,140350.75677127816,4.544615384615384
Washington Parish,2018,17337,74.1,C,1681.0,123361.88676813706,4.544615384615384
Webster Parish,2018,16230,68.3,C,594.0,141101.99276027016,4.544615384615384
West Baton Rouge Parish,2018,9599,73.3,C,681.0,191406.23608806427,4.544615384615384
West Carroll Parish,2018,4041,77.0,B,242.0,118397.60008746863,4.544615384615384
West Feliciana Parish,2018,3908,89.4,B,135.0,260320.31986402007,4.544615384615384
Winn Parish,2018,5437,78.5,B,371.0,122595.75580848545,4.544615384615384
Acadia Parish,2019,22236,81.0,B,1635.0,151060.03990277436,3.935769230769231
Allen Parish,2019,7925,86.6,B,407.0,120370.63573534148,3.935769230769231
Ascension Parish,2019,43032,92.3,A,3668.0,223816.62185964242,3.935769230769231
Assumption Parish,2019,8552,80.5,B,285.0,148155.40134584642,3.935769230769231
Avoyelles Parish,2019,15163,71.7,C,866.0,163903.66976737895,3.935769230769231
Beauregard Parish,2019,13520,82.8,B,260.0,206707.90519767322,3.935769230769231
Bienville Parish,2019,5812,79.1,B,280.0,99408.05215501254,3.935769230769231
Bossier Parish,2019,49377,83.2,B,4616.0,182858.4602603454,3.935769230769231
Caddo Parish,2019,95864,71.7,C,11171.0,120679.95104624481,3.935769230769231
Calcasieu Parish,2019,77780,81.7,B,10556.0,212358.5319974078,3.935769230769231
Caldwell Parish,2019,3665,79.8,B,245.0,121778.34835558815,3.935769230769231
Cameron Parish,2019,2734,90.5,A,167275.0,228510.3274572134,3.935769230769231
Catahoula Parish,2019,3364,75.0,B,155.0,116450.3902147103,3.935769230769231
Claiborne Parish,2019,5917,70.6,C,78.0,235327.0592881417,3.935769230769231
Concordia Parish,2019,7162,69.7,C,631.0,130236.94249648454,3.935769230769231
East Baton Rouge Parish,2019,164346,69.1,C,22553.0,191495.6355820545,3.935769230769231
East Feliciana Parish,2019,6959,70.6,C,206.0,193575.60837702124,3.935769230769231
Evangeline Parish,2019,12172,76.8,B,706.0,116073.64421068782,3.935769230769231
Franklin Parish,2019,7423,64.7,C,202.0,99805.04206174397,3.935769230769231
Iberville Parish,2019,10903,77.0,B,732.0,151548.7651336645,3.935769230769231
Jackson Parish,2019,5971,69.0,C,58.0,117751.36340061082,3.935769230769231
Jefferson Parish,2019,169452,71.5,C,14144.0,251337.21357124476,3.935769230769231
Jefferson Davis Parish,2019,11726,86.3,B,312.0,154787.147265469,3.935769230769231
Lafayette Parish,2019,91543,78.9,B,8514.0,206925.7019338063,3.935769230769231
Lafourche Parish,2019,36895,92.5,A,2974.0,204098.73567459328,3.935769230769231
Lincoln Parish,2019,17712,88.9,B,1202.0,181170.65348701528,3.935769230769231
Livingston Parish,2019,48410,88.5,B,4510.0,191204.9701501804,3.935769230769231
Morehouse Parish,2019,9732,56.7,D,1187.0,87370.62571132404,3.935769230769231
Natchitoches Parish,2019,14659,73.7,C,1851.0,175011.86438072636,3.935769230769231
Orleans Parish,2019,153819,67.8,C,25645.0,224230.79737408215,3.935769230769231
Ouachita Parish,2019,56556,82.1,B,8204.0,145902.53701474195,3.935769230769231
Plaquemines Parish,2019,8919,90.5,A,157.0,257454.77229579617,3.935769230769231
Pointe Coupee Parish,2019,8960,61.9,C,440.0,168318.79995984977,3.935769230769231
Rapides Parish,2019,48488,78.3,B,7664.0,149840.99006939054,3.935769230769231
Red River Parish,2019,3372,64.2,C,169.0,166814.6232267464,3.935769230769231
Richland Parish,2019,7459,65.0,C,56.0,140238.2175527417,3.935769230769231
Sabine Parish,2019,9158,85.1,B,225.0,163354.0672952234,3.935769230769231
Terrebonne Parish,2019,39972,84.3,B,3658.0,179063.6464357928,3.935769230769231
Union Parish,2019,7582,67.1,C,476.0,118946.74780756481,3.935769230769231
Vermilion Parish,2019,22086,92.8,A,1027.0,157492.95824207165,3.935769230769231
Vernon Parish,2019,17696,92.1,A,808.0,147288.48369914087,3.935769230769231
Washington Parish,2019,17613,75.2,B,1806.0,131378.71393703794,3.935769230769231
Webster Parish,2019,16551,70.1,C,767.0,144747.89026803037,3.935769230769231
West Baton Rouge Parish,2019,9643,78.6,B,872.0,193892.72131805532,3.935769230769231
West Carroll Parish,2019,4084,77.3,B,136.0,122348.21547736267,3.935769230769231
West Feliciana Parish,2019,3869,90.2,A,94.0,259360.20106189174,3.935769230769231
Winn Parish,2019,5483,77.9,B,250.0,123562.60418085242,3.935769230769231
